0.43, 0.67, 0.33
1.21, 1.23, 1.24
2.64, 2.48, 2.50
3.24, 3.05, 2.98
1.65, 1.38, 1.70
3.77, 4.06, 3.73
2.25, 1.81, 1.67
3.89, 3.69, 4.14
-0.13, 0.28, 0.22
0.72, 0.38, 0.57
4.07, 3.72, 3.97
0.97, 0.78, 0.53
5.21, 5.15, 4.58
3.16, 3.11, 3.57
3.67, 3.79, 3.43
0.59, 0.48, 0.56
4.78, 5.04, 4.88
3.83, 3.72, 3.63
3.46, 3.40, 3.40
4.91, 5.03, 5.03
4.66, 4.64, 4.53
4.87, 4.75, 4.82
0.61, 0.82, 1.01
0.62, 0.94, 0.73
2.88, 3.09, 2.64
2.47, 2.70, 2.19
4.74, 4.40, 4.53
1.08, 1.07, 1.00
0.33, 0.34, 0.55
4.95, 4.86, 5.03
0.64, 0.78, 0.67
0.36, 1.13, 1.17
4.79, 4.45, 4.19
2.87, 2.64, 2.49
1.62, 1.98, 2.25
2.36, 2.52, 2.08
1.41, 1.51, 1.76
0.95, 1.02, 1.14
0.32, 0.27, 0.33
3.92, 4.13, 3.75
0.37, 0.42, 0.36
2.29, 2.22, 2.10
4.89, 4.75, 4.53
2.30, 2.90, 2.32
-0.07, -0.01, 0.46
0.03, -0.20, -0.12
0.77, 1.42, 1.44
2.00, 1.87, 1.66
2.12, 2.10, 2.45
3.57, 3.41, 3.57
3.78, 3.61, 3.97
3.27, 3.21, 3.31
4.58, 4.97, 5.08
2.28, 2.24, 2.20
0.02, 0.26, 0.00
2.16, 2.03, 2.04
4.06, 3.91, 3.66
4.90, 4.84, 4.31
3.05, 2.88, 2.94
1.98, 1.52, 1.92
1.71, 1.77, 1.72
1.47, 1.19, 1.48
2.03, 1.99, 1.61
3.34, 3.29, 3.49
4.30, 4.50, 4.09
0.88, 0.97, 1.24
3.18, 3.31, 3.43
2.16, 1.93, 2.28
2.60, 2.86, 2.58
3.84, 3.53, 3.71
2.71, 2.37, 2.78
3.29, 3.25, 3.32
0.73, 1.08, 1.43
0.11, 0.47, 0.15
2.78, 2.98, 2.99
4.26, 3.69, 3.72
1.31, 0.70, 0.85
1.53, 1.75, 1.59
3.65, 3.73, 3.52
0.00, -0.06, 0.02
4.90, 4.99, 6.36
4.94, 5.14, 7.11
4.68, 5.31, 5.39
5.25, 4.85, 8.76
5.12, 5.22, 6.03
4.57, 5.12, 8.08
5.29, 4.93, 9.34
4.80, 4.93, 6.09
5.07, 5.01, 6.18
4.97, 5.14, 7.59
4.98, 5.24, 5.63
4.92, 5.18, 6.74
5.12, 4.94, 6.62
5.15, 4.83, 5.94
4.63, 5.22, 9.45
5.13, 5.58, 7.29
4.50, 5.18, 8.16
4.91, 5.04, 5.36
5.07, 4.82, 5.95
4.97, 4.93, 7.38
5.14, 5.08, 8.08
4.97, 5.29, 5.92
4.70, 5.15, 6.15
4.75, 5.14, 8.66
4.71, 5.27, 5.09
4.94, 4.86, 6.42
5.26, 4.95, 9.65
5.00, 4.97, 8.94
5.13, 4.87, 5.36
4.98, 5.19, 8.39
5.10, 4.92, 8.27
5.13, 4.84, 7.85
5.02, 5.32, 5.92
5.10, 4.94, 7.81
4.75, 4.89, 9.06
5.23, 4.96, 7.86
4.81, 4.83, 10.11
5.15, 4.98, 9.88
5.05, 4.97, 5.27
5.13, 4.90, 8.64
4.92, 4.70, 8.48
4.95, 4.74, 7.10
4.81, 4.93, 5.39
5.26, 5.13, 6.42
5.17, 4.88, 9.46
4.72, 5.07, 6.98
5.01, 5.04, 6.76
5.03, 5.08, 5.81
4.97, 4.97, 7.54
5.33, 4.81, 7.88
4.97, 4.86, 8.49
4.71, 5.15, 5.58
5.05, 5.18, 7.82
4.96, 4.97, 6.83
5.16, 5.12, 5.78
5.17, 4.94, 7.70
5.07, 5.03, 7.60
5.04, 4.99, 5.81
4.73, 4.91, 9.97
5.14, 4.97, 5.38
4.92, 4.79, 5.94
4.79, 5.09, 9.92
4.80, 5.08, 9.67
5.20, 4.87, 6.18
5.26, 5.02, 8.63
5.09, 5.04, 7.96
4.94, 4.82, 6.67
4.85, 4.93, 9.75
5.13, 5.13, 5.39
5.23, 4.73, 9.07
5.08, 4.85, 8.09
5.15, 5.14, 8.53
5.01, 5.16, 6.31
5.01, 5.02, 8.54
4.78, 4.74, 9.69
4.44, 5.02, 7.74
5.16, 5.03, 6.46
4.85, 4.82, 7.27
5.45, 5.27, 7.98
4.55, 5.12, 9.28
9.06, 4.91, 4.96
9.62, 5.21, 4.95
9.46, 5.15, 4.79
6.52, 5.11, 5.21
10.05, 5.21, 5.23
8.54, 4.95, 4.38
9.36, 5.29, 5.10
5.54, 5.06, 5.42
5.41, 5.07, 4.98
7.47, 5.18, 4.94
8.69, 5.06, 4.88
8.08, 4.91, 5.26
9.72, 4.98, 5.12
8.01, 4.80, 5.13
7.06, 4.74, 5.12
6.97, 5.19, 4.87
7.80, 5.05, 5.03
9.90, 4.74, 4.99
9.07, 4.94, 5.13
7.60, 5.03, 5.27
8.53, 4.76, 5.28
8.10, 4.79, 4.80
7.89, 5.08, 5.11
7.36, 5.02, 4.65
8.86, 5.29, 4.78
7.42, 5.21, 5.19
6.59, 4.75, 5.01
9.30, 5.13, 5.13
5.70, 5.23, 5.01
9.40, 4.76, 4.79
7.42, 5.26, 4.96
9.92, 5.15, 5.17
6.95, 4.87, 5.17
7.21, 5.19, 4.96
8.85, 4.95, 5.20
6.03, 5.27, 5.31
6.69, 4.77, 4.98
5.45, 5.30, 4.93
7.16, 5.14, 4.96
6.88, 5.11, 4.91
6.41, 4.70, 4.97
10.08, 4.92, 5.23
8.42, 4.90, 4.73
10.01, 4.93, 4.86
5.59, 4.88, 4.95
5.87, 5.01, 5.02
6.48, 5.07, 5.22
7.88, 4.95, 4.95
6.73, 5.13, 5.09
5.56, 5.01, 4.99
6.24, 4.76, 4.87
7.62, 5.08, 5.06
5.80, 4.97, 5.17
6.73, 5.03, 4.89
6.94, 4.71, 5.04
7.36, 4.89, 4.73
8.20, 5.18, 5.16
9.46, 4.61, 4.93
8.44, 4.98, 4.84
9.78, 5.05, 4.74
8.43, 5.04, 4.92
9.85, 4.97, 4.93
6.23, 5.00, 5.18
8.61, 4.98, 4.65
5.81, 5.33, 5.03
6.29, 4.84, 5.22
7.21, 5.45, 4.60
4.90, 5.06, 4.76
5.64, 4.92, 5.18
5.26, 4.70, 4.59
5.17, 5.12, 4.67
6.07, 5.13, 5.03
6.97, 4.89, 4.86
6.25, 5.27, 4.81
8.14, 5.29, 5.26
5.72, 5.21, 5.16
9.77, 5.23, 4.93
7.86, 4.80, 4.67
5.89, 5.12, 5.29
7.56, 4.93, 5.30
3.29, 1.26, 1.32
2.72, 1.44, 1.23
2.94, 1.63, 1.29
5.61, 0.31, 0.27
4.14, 0.81, 1.31
2.57, 1.48, 1.41
2.57, 1.24, 1.67
2.02, 2.02, 1.86
5.36, 0.40, 0.17
2.31, 2.04, 1.83
5.14, 0.62, 0.98
2.80, 1.71, 1.48
5.79, 0.48, 0.25
5.78, 0.37, 0.35
5.00, 0.62, 0.12
3.16, 1.09, 1.34
3.52, 1.20, 1.34
3.72, 1.22, 1.10
2.96, 1.74, 1.66
4.99, 0.36, 0.45
2.89, 1.58, 1.44
4.36, 0.92, 0.88
5.39, 0.28, -0.02
2.44, 1.42, 1.67
5.19, 0.54, 0.20
3.43, 1.49, 1.11
4.93, 0.43, 0.29
4.24, 0.70, 0.92
3.50, 1.93, 1.56
3.46, 1.18, 1.40
2.01, 1.76, 2.03
4.55, 0.94, 0.84
2.64, 1.49, 1.36
5.24, 0.14, 0.44
3.53, 1.44, 1.56
5.10, 0.87, 0.81
2.69, 1.88, 1.89
2.14, 1.75, 1.98
3.85, 1.11, 0.69
4.02, 1.22, 1.06
5.89, 0.25, 0.29
4.38, 1.15, 0.77
4.49, 0.97, 0.62
4.01, 1.14, 0.84
2.69, 1.92, 2.09
3.70, 1.17, 0.69
3.59, 1.36, 1.30
5.76, -0.07, 0.16
3.97, 0.62, 1.07
3.23, 1.50, 1.25
5.24, 0.19, 0.13
3.03, 2.04, 1.40
4.79, 0.76, 0.70
4.55, 0.24, 0.38
4.85, 0.97, 0.30
2.56, 1.49, 1.51
4.92, 0.31, 0.44
2.43, 1.71, 1.61
6.05, 0.16, 0.04
3.40, 1.49, 1.46
4.69, 0.72, 0.69
5.41, 0.08, 0.61
4.26, 1.03, 0.90
5.69, -0.09, 0.39
4.32, 0.74, 0.88
4.88, 0.67, 0.31
4.58, 1.08, 0.71
5.27, 0.13, 0.49
2.47, 1.84, 2.02
3.89, 0.55, 1.29
6.37, 0.31, 0.15
2.93, 1.36, 1.77
3.63, 1.56, 1.27
2.13, 2.01, 2.18
3.10, 1.38, 1.68
4.38, 0.77, 1.05
4.91, 0.49, 0.35
4.17, 1.16, 0.97
3.18, 1.53, 1.73
4.32, 0.78, 0.83
-3.29, 0.29, -0.20
-0.51, 0.01, -0.31
-0.67, 0.29, -0.06
-4.73, 0.06, -0.17
-3.82, -0.23, -0.15
-4.95, -0.14, -0.24
-3.68, -0.08, 0.20
-3.65, 0.07, -0.22
-2.15, 0.17, 0.37
-3.87, -0.27, -0.05
-4.37, 0.03, 0.39
-3.42, 0.13, 0.19
-1.84, 0.12, -0.34
-1.21, -0.21, 0.15
-3.74, 0.23, -0.02
-1.68, -0.06, -0.12
-2.14, -0.01, 0.17
-4.37, 0.12, 0.26
-0.56, -0.35, -0.63
-3.31, 0.15, -0.27
-2.25, -0.08, -0.05
-4.10, 0.35, 0.14
-1.65, -0.25, 0.15
-1.53, -0.11, 0.12
-3.17, 0.04, -0.26
-2.81, -0.04, -0.15
-0.81, 0.11, 0.23
-2.74, 0.15, 0.19
-0.06, 0.07, 0.03
-1.71, 0.06, 0.21
-2.07, 0.12, -0.24
-1.37, 0.07, 0.20
-0.05, 0.13, 0.05
-4.18, 0.04, 0.00
-1.01, -0.08, 0.05
-0.13, -0.01, 0.10
-0.56, 0.37, 0.21
