4.50, 1.59, 1.34, 0.61
-4.17, -1.73, 1.30, 1.70
-2.19, -0.53, 2.72, -3.54
0.33, -1.61, -3.76, -2.86
-1.45, -2.67, 3.85, -0.97
-2.74, -3.65, -1.43, 1.47
-1.17, -0.62, -4.82, -0.06
-3.93, 2.95, -0.10, -0.92
1.06, 3.61, -2.27, -2.39
-4.09, -1.17, 2.00, -1.70
0.16, -4.89, 0.05, -1.04
-4.16, -0.76, 2.46, 1.05
0.46, 3.85, -2.73, -1.58
-2.73, 0.98, 3.55, 1.99
-2.92, 3.09, 2.55, -0.62
3.77, -0.48, -1.74, -2.74
3.59, 2.28, 1.42, -2.22
1.04, -1.73, 3.50, 2.95
-2.51, 0.04, -3.79, 2.08
-0.08, 4.94, -0.59, 0.46
1.68, -3.00, 3.40, 1.27
0.49, 0.64, -1.34, -4.75
-2.50, -0.90, -3.24, -2.74
-1.39, 3.58, -3.15, -0.57
-1.36, -1.74, 0.74, -4.42
1.97, 0.07, 1.04, -4.48
-2.94, 0.42, 1.03, 3.89
-0.74, 3.21, -2.12, -3.11
0.55, -2.61, -3.81, 1.85
-3.72, -0.95, -2.17, -2.35
0.97, -0.19, 3.32, 3.60
0.01, 2.16, -2.62, -3.67
-2.61, -3.96, -1.28, 0.93
-0.35, -1.33, 4.75, 0.77
1.34, 1.58, -4.38, 1.23
2.10, 1.20, -3.85, -2.09
-0.10, 3.81, -0.83, -3.12
-2.91, -2.64, -2.10, 2.27
3.69, 0.79, 3.26, 0.40
3.39, 1.36, 1.37, 3.13
-1.36, 2.53, 2.90, -2.89
2.39, -0.16, -1.48, -4.13
1.49, -1.47, 0.91, 4.45
0.23, 4.81, -1.08, 0.83
-1.22, -2.54, 4.12, -0.23
2.43, -0.40, 4.33, -0.47
2.09, -2.77, -1.78, 3.13
-3.89, 0.73, -2.92, 0.90
2.04, -1.40, 1.42, 4.11
3.40, 2.47, 1.11, 2.48
0.28, -3.10, 3.91, 0.10
-3.24, 1.66, -1.11, -3.25
0.73, -2.50, 1.26, -4.08
2.85, 3.82, 1.34, 0.72
-1.34, 2.76, 3.36, -2.08
2.86, -1.68, 2.57, 2.73
-2.32, 0.25, -3.76, 2.32
1.06, -1.50, 3.85, 2.61
1.69, 1.88, 3.99, 1.64
-4.82, -0.02, -1.31, -0.28
